title,artist,album,genre,release_year
Bohemian Rhapsody,Queen,A Night at the Opera,Rock,1975
Hotel California,Eagles,Hotel California,Rock,1976
Billie Jean,Michael Jackson,Thriller,Pop,1982
Imagine,John Lennon,Imagine,Rock,1971
Smells Like Teen Spirit,Nirvana,Nevermind,Grunge,1991
Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,Folk Rock,1965
Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,Rock,1971
What's Going On,Marvin Gaye,What's Going On,Soul,1971
Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,Rock,1987
Rolling in the Deep,Adele,21,Pop,2010
Superstition,Stevie Wonder,Talking Book,Funk,1972
I Will Always Love You,Whitney Houston,The Bodyguard,Pop,1992
Hey Jude,The Beatles,Hey Jude,Rock,1968
Purple Rain,Prince,Purple Rain,Rock,1984
Respect,Aretha Franklin,I Never Loved a Man the Way I Love You,Soul,1967
Shake It Off,Taylor Swift,1989,Pop,2014
Wonderwall,Oasis,(What's the Story) Morning Glory?,Britpop,1995
Blinding Lights,The Weeknd,After Hours,Synthwave,2019
Losing My Religion,R.E.M.,Out of Time,Alternative,1991
Uptown Funk,Mark Ronson ft. Bruno Mars,Uptown Special,Funk,2014
Shape of You,Ed Sheeran,Ö (Divide),Pop,2017
Thriller,Michael Jackson,Thriller,Pop,1982
Rolling in the Deep,Adele,21,Pop,2010
Somebody That I Used to Know,Gotye,Making Mirrors,Alternative,2011
Poker Face,Lady Gaga,The Fame,Pop,2008
Single Ladies,Beyonc,I Am... Sasha Fierce,R&B,2008
Born to Run,Bruce Springsteen,Born to Run,Rock,1975
Don't Stop Believin',Journey,Escape,Rock,1981
Back in Black,AC/DC,Back in Black,Rock,1980
Bad Guy,Billie Eilish,When We All Fall Asleep Where Do We Go?,Pop,2019
Rolling in the Deep,Adele,21,Pop,2010
Shallow,Lady Gaga & Bradley Cooper,A Star Is Born,Pop,2018
Yesterday,The Beatles,Help!,Rock,1965
Take Me to Church,Hozier,Hozier,Alternative,2014
Hello,Adele,25,Pop,2015
Closer,The Chainsmokers ft. Halsey,Collage,EDM,2016
Bohemian Rhapsody,Queen,A Night at the Opera,Rock,1975
All of Me,John Legend,Love in the Future,R&B,2013
Sorry,Justin Bieber,Purpose,Pop,2015
Hello,Lionel Richie,Can't Slow Down,R&B,1983
